rank,institution,state,oos_penalty_30yr_npv_usd,npv_resident_usd,npv_nonresident_usd,tuition_in_state_usd,tuition_out_of_state_usd
382,Western New Mexico University,NM,220753,1451554,1230801,7868,14354
383,SUNY College of Technology at Canton,NY,220685,584976,364291,8689,15173
384,Northwest Missouri State University,MO,219255,1186141,966886,10181,16623
385,Grand Valley State University,MI,210201,1171034,960833,14978,21154
386,Bridgewater State University,MA,208976,572000,363024,11389,17529
387,Broward College,FL,208364,1640597,1432233,2830,8952
388,Fitchburg State University,MA,206934,946316,739382,11046,17126
389,Framingham State University,MA,206934,583065,376131,11630,17710
390,Westfield State University,MA,206934,569361,362427,11882,17962
391,Worcester State University,MA,206934,1206392,999458,11286,17366
392,Arkansas State University,AR,206662,1039097,832435,7754,13826
393,The University of Tennessee-Martin,TN,205573,627122,421549,10194,16234
394,Arkansas Tech University,AR,204008,1061673,857665,8508,14502
395,The College of New Jersey,NJ,200230,1731842,1531612,18685,24568
396,University of Arkansas at Monticello,AR,199106,1279068,1079962,8868,14718
397,Chipola College,FL,198426,881090,682664,3120,8950
398,Northwestern Oklahoma State University,OK,193797,1356252,1162455,5970,11664
399,Northern Michigan University,MI,191347,501920,310573,13622,19244
400,Oklahoma State University Institute of Technology,OK,190937,3839250,3648313,5774,11384
401,Southern Arkansas University Main Campus,AR,189916,1228899,1038983,9820,15400
402,Austin Peay State University,TN,188691,885861,697170,8675,14219
403,University of Minnesota-Duluth,MN,185288,1784937,1599649,14318,19762
404,Cleveland State University,OH,182429,1190602,1008173,12613,17973
405,University of Maine at Fort Kent,ME,179706,2420096,2240390,9045,14325
406,Kutztown University of Pennsylvania,PA,177119,716276,539157,11122,16326
407,Valley City State University,ND,168951,1273907,1104956,8514,13478
408,New Mexico Highlands University,NM,167454,1031319,863865,7260,12180
409,Indiana University of Pennsylvania-Main Campus,PA,167351,898224,730873,11380,16297
410,Morehead State University,KY,165684,810546,644862,9838,14706
411,University of New Orleans,LA,164595,829253,664658,9172,14008
412,North Dakota State University-Main Campus,ND,158400,2621435,2463035,10857,15511
413,Harris-Stowe State University,MO,157652,161353,3701,6442,11074
414,University of North Dakota,ND,157208,2534107,2376899,10951,15570
415,University of Memphis,TN,151117,1091016,939899,10344,14784
416,University of Akron Main Campus,OH,151116,1709808,1558692,12799,17239
417,South Dakota School of Mines and Technology,SD,149755,4578361,4428606,10400,14800
418,University of Maryland Global Campus,MD,147849,3080360,2932511,7992,12336
419,Purdue University Global,IN,146726,1930112,1783386,10110,14421
420,West Virginia University at Parkersburg,WV,142131,598941,456810,5248,9424
421,Slippery Rock University of Pennsylvania,PA,139817,1115363,975546,10507,14615
422,Kentucky State University,KY,137706,578949,441243,9214,13260
423,Fayetteville State University,NC,136141,1031515,895374,3969,7969
424,University of North Carolina at Pembroke,NC,136141,681958,545817,3571,7571
425,Western Carolina University,NC,136141,1033374,897233,4532,8532
426,Western Michigan University,MI,129334,1437127,1307793,15298,19098
427,SUNY College of Technology at Delhi,NY,128312,2499855,2371543,8710,12480
428,South Dakota State University,SD,119464,2241320,2121856,9299,12809
429,University of South Dakota,SD,119464,1664066,1544602,9432,12942
430,Eastern Connecticut State University,CT,113405,429434,316029,13292,16624
431,Western Connecticut State University,CT,113405,975133,861728,12763,16095
432,East Tennessee State University,TN,113269,707839,594570,9706,13034
433,Northern State University,SD,105578,1249829,1144251,8845,11947
434,Black Hills State University,SD,105577,854729,749152,8916,12018
435,Dakota State University,SD,105577,2078257,1972680,9633,12735
436,Eastern Illinois University,IL,83114,545399,462285,13124,15566
437,South Texas College,TX,77600,216059,138459,5220,7500
438,Shippensburg University of Pennsylvania,PA,76716,1151690,1074974,13394,15648
439,Henderson State University,AR,75150,556205,481055,7572,9780
440,University of Minnesota-Morris,MN,73175,398132,324957,14287,16437
441,Dickinson State University,ND,71474,1996213,1924739,9118,11218
442,University of Southern Mississippi,MS,68071,742045,673974,9618,11618
443,Eastern New Mexico University-Main Campus,NM,67390,1394100,1326710,6738,8718
444,Thomas Edison State University,NJ,66709,3931519,3864810,6638,8598
445,Midwestern State University,TX,66368,1996308,1929940,9950,11900
446,West Texas A & M University,TX,64497,1477710,1413213,9101,10996
447,Glenville State University,WV,58812,312261,253449,9412,11140
448,Mayville State University,ND,55444,1286015,1230571,7935,9564
449,University of New Hampshire College of Professional Studies Online,NH,53095,1548826,1495731,7812,9372
450,McNeese State University,LA,51052,1485860,1434808,8460,9960
451,Nicholls State University,LA,37201,1170001,1132800,8173,9266
452,Jackson State University,MS,34035,216089,182054,8795,9795
453,Oklahoma Panhandle State University,OK,25561,2311538,2285977,7922,8673
454,Youngstown State University,OH,12253,1246784,1234531,9757,10117
455,Southwestern Oklahoma State University,OK,1021,2295692,2294671,8295,8325
